web-scraper-order,web-scraper-start-url,titre_annonce,prix,commune,date,code_postal,surface_all,nb_pièces,détail,prix_m2
1613500673-53673,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=56,T2 51m2 non meublé,400,Beauvois-en-Cambrésis ,"11 fév, 21:45",59157,51,2,Appartement,7.8431372549019605
1613500878-55482,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=3,Appartement 3 pièces 59 m²,766,Tourcoing ,"16 fév, 17:08",59200,59,3,Appartement,12.983050847457626
1613500732-54535,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=32,Studio 1 pièce 31 m²,376,Dunkerque ,"14 fév, 17:16",59140,31,1,Appartement,12.129032258064516
1613500591-52659,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=85,Appartement 65m2,600,Lesquin ,"08 fév, 16:10",59810,65,,Appartement,9.23076923076923
1613500685-53866,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=51,Appartement 2 pièces 45 m²,600,Lille ,"12 fév, 13:28",59000,45,2,Appartement,13.333333333333334
1613500614-52853,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=80,Appartement 1 pièce 10 m²,340,Villeneuve-d'Ascq ,"09 fév, 09:24",59650,10,,Appartement,34
1613500833-54829,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=21,Appartement 2 pièces 46 m²,595,Roubaix ,"15 fév, 14:55",59100,46,2,Appartement,12.934782608695652
1613500860-55237,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=10,Appartement 2 pièces 37 m²,470,Roubaix ,"16 fév, 11:07",59100,37,2,Appartement,12.702702702702704
1613500828-54759,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=23,"A Roubaix place fosse aux chênes, un studio très lumineux de 24 m2. À voir rapidement",485,Roubaix ,"15 fév, 12:35",59100,24,1,Appartement,20.208333333333332
1613500562-52245,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=97,Studio 1 pièce 23 m²,527,Lille ,"06 fév, 04:18",59000,23,1,Appartement,22.91304347826087
1613500695-54008,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=47,Appartement 3 pièces 92 m²,1640,Lille ,"12 fév, 17:33",59000,92,3,Appartement,17.82608695652174
1613500634-53112,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=72,Appartement 2 pièces 37 m²,550,Lambersart ,"10 fév, 09:38",59130,37,2,Appartement,14.864864864864865
1613500695-53992,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=47,Appartement 2 pièces 34 m²,440,Lille ,"12 fév, 18:01",59000,34,2,Appartement,12.941176470588236
1613500715-54275,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=39,STUDIO 25m² A LOUER,370,Valenciennes ,"13 fév, 16:15",59300,25,1,Appartement,14.8
1613500693-53980,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=48,Maison 4 pièces 91 m²,850,La Chapelle-d'Armentières ,"12 fév, 16:30",59930,91,4,Maison,9.340659340659341
1613500611-52822,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=81,Appartement 3 pièces 67 m²,554,Dunkerque ,"09 fév, 07:35",59140,67,3,Appartement,8.26865671641791
1613500604-52714,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=84,Appartement 2 pièces 39 m²,610,Loos ,"08 fév, 16:56",59120,39,2,Appartement,15.64102564102564
1613500819-54657,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=26,Appartement 2 pièces 30 m²,575,Roubaix ,"15 fév, 10:16",59100,30,2,Appartement,19.166666666666668
1613500700-54071,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=45,Chambre 7 pièces 15 m²,500,Roubaix ,"12 fév, 21:42",59100,15,7,,33.333333333333336
1613500725-54419,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=35,Maison rénovée 4 chambres 115 m²,685,Caudry ,"14 fév, 11:14",59540,115,,Maison,5.956521739130435
1613500688-53897,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=50,Studio 1 pièce 18 m²,525,Lille ,"12 fév, 15:10",59000,18,1,Appartement,29.166666666666668
1613500819-54646,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=26,Pavillon 4 pièces 110 m²,1200,Saint-Saulve ,"15 fév, 10:38",59880,110,4,Maison,10.909090909090908
1613500828-54758,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=23,Appartement 2 pièces 45 m²,450,Estaires ,"15 fév, 12:36",59940,45,2,Appartement,10
1613500636-53150,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=71,Maison 4 pièces 82 m²,690,Denain ,"10 fév, 10:12",59220,82,4,Maison,8.414634146341463
1613500643-53266,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=68,Appartement 2 pièces 38 m²,585,Lambersart ,"10 fév, 14:06",59130,38,2,Appartement,15.394736842105264
1613500562-52250,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=97,Appartement 3 pièces 64 m²,532,Dunkerque ,"06 fév, 01:02",59140,64,3,Appartement,8.3125
1613500858-55176,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=11,Appartement 1 pièce 25 m²,515,Lille ,"16 fév, 11:04",59000,25,,Appartement,20.6
1613500737-54585,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=30,Studio 1 pièce 22 m²,410,Lille ,"14 fév, 23:51",59000,22,1,Appartement,18.636363636363637
