web-scraper-order,web-scraper-start-url,titre_annonce,prix,nom-commune,code_postal,date_publication,Type,surface_all,nb_pièces,détail,Jardin,état,garage,cave_sous_sol,prix_m2
1613468411-47287,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=38,Ferme 130 m² Wavrin,269000,Wavrin ,59136,"12 fév, 19:01",Maison,130,,,,,,,2069.230769230769
1613468485-48423,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=5,Maison 7 pièces 265 m²,549000,Ennevelin ,59710,"15 fév, 17:19",Maison,265,7,,,,,,2071.698113207547
1613469040-49411,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=77,Maison 6 pièces 110 m²,227900,Waziers ,59119,"08 fév, 08:27",Maison,110,6,,,,,,2071.818181818182
1613468416-47343,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=36,Maison 5 pièces 110 m²,228000,Sallaumines ,62430,"13 fév, 09:33",Maison,110,5,,,,,,2072.7272727272725
1613469000-48932,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=91,Maison 6 pièces 116 m²,240662,Billy-Berclau ,62138,"04 fév, 11:47",Maison,116,6,,,,,,2074.6724137931033
1613469091-49995,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=60,Maison 4 pièces 106 m²,219999,Harnes ,62440,"10 fév, 14:02",Maison,106,4,,,,,,2075.4622641509436
1613468469-48199,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=12,Maison 6 pièces 104 m²,215918,Lestrem ,62136,"15 fév, 10:33",Maison,104,6,,,,,,2076.1346153846152
1613468463-48097,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=15,Maison 5 pièces 109 m²,226300,Oignies ,62590,"15 fév, 09:10",Maison,109,5,,,,,,2076.146788990826
1613468472-48221,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=11,Maison 5 pièces 109 m²,226300,Oignies ,62590,"15 fév, 11:30",Maison,109,5,,,,,,2076.146788990826
1613469000-48929,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=91,Maison 10 pièces 130 m²,270000,Loos-en-Gohelle ,62750,"04 fév, 11:56",Maison,130,10,,,,,,2076.923076923077
